Parameters,,,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Jan,Feb,Mar
Gross Generation (Mus),Unit-1,AOP,30.156,30.621000000000002,29.613,29.487000000000002,29.652,29.652,,,,,,
,,ACT,31.715075650181703,31.39665578184795,30.138815479725828,29.751,28.091601561696226,26.958294123510147,,,,,,
,Unit-2,AOP,30.156,30.621000000000002,29.613,29.487000000000002,28.14,28.14,,,,,,
,,ACT,31.116385015178295,30.022932653941115,30.304420098539584,29.69,29.337175512518844,26.47091323723051,,,,,,
,Unit-3,AOP,20.104,20.414,19.742,19.658,20.776,20.776,,,,,,
,,ACT,20.78390983464,20.933594025560417,20.14406298423459,20.944,20.402885925784926,19.25324286582185,,,,,,
,Station,AOP,80.416,81.656,78.968,78.632,78.568,78.568,0,0,0,0,0,0
,,ACT,83.6153705,82.35318246134949,80.58729856250001,80.385,77.83166299999999,72.68245022656251,0,0,0,0,0,0
Plant Load Factor (%),Unit-1,AOP,99.72222222222223,97.99347158218127,97.9265873015873,94.36443932411674,94.89247311827957,98.05555555555556,0,0,0,0,0,0
,,ACT,104.87789566859028,100.47572894856614,99.66539510491346,95.20929339477726,89.89887852565356,89.14779802748065,0,0,0,0,0,0
,Unit-2,AOP,99.72222222222223,97.99347158218127,97.9265873015873,94.36443932411674,90.05376344086021,93.05555555555556,0,0,0,0,0,0
,,ACT,102.89809859516632,96.07953358276086,100.21302942638752,95.01408090117766,93.8849702781581,87.5360887474554,0,0,0,0,0,0
,Unit-3,AOP,99.72222222222223,97.99347158218126,97.9265873015873,94.36443932411674,99.73118279569893,103.05555555555556,0,0,0,0,0,0
,,ACT,103.09479084642857,100.48768253437221,99.9209473424335,100.53763440860216,97.94012061148678,95.5021967550687,0,0,0,0,0,0
,Station,AOP,99.72222222222223,97.99347158218126,97.9265873015873,94.36443932411674,94.28763440860216,97.43055555555556,0,0,0,0,0,0
,,ACT,103.68969556051589,98.8301440828407,99.93464603484625,96.46817396313364,93.40397345430107,90.13200672936819,0,0,0,0,0,0
Generation Availability (%),Unit-1,AOP,99.72222222222223,99.19354838709677,99.1667,94.16666666666667,94.72222222222223,94.72222222222223,,,,,,
,,ACT,100,99.38844086021506,96.43132716049382,97.56550925925926,96.54047267025089,97.54143518518518,,,,,,
,Unit-2,AOP,99.72222222222223,99.19354838709677,99.1667,94.16666666666667,89.72222222222223,89.72222222222223,,,,,,
,,ACT,99.875,97.1375,98.54320987654322,93.35115740740741,92.2524641577061,97.84444444444445,,,,,,
,Unit-3,AOP,99.72222222222223,99.19354838709677,99.1667,99.16666666666667,99.72222222222223,99.72222222222223,,,,,,
,,ACT,100,99.06182795698925,100,100,100,99.62083333333334,,,,,,
,Station,AOP,99.72222222222223,99.19354838709677,99.1667,95.56451612903226,94.28763440860214,94.28763440860214,,,,,,
,,ACT,99.953125,98.46268481182796,98.11545138888889,96.70362903225806,95.7973513104839,98.23378696236558,,,,,,
Aux Power Consumption (Mus),Station,AOP,5.621849340506308,5.755120972814648,5.567,5.642762495920321,5.633561373369295,5.633561373369295,,,,,,
,,ACT,5.7303465000000005,5.734286421875001,5.6401145625,5.65359925,5.4651950000000005,5.239261226562499,,,,,,
Aux Power Consumption (%),Station,AOP,6.990958690442583,7.0480074615639365,7.049691014081653,7.176165550819413,7.170300088292047,7.170300088292047,0,0,0,0,0,0
,,ACT,6.853221442103161,6.963041682774374,6.998763655200294,7.0331520184113945,7.021814502408873,7.208426807614364,0,0,0,0,0,0
Water Consumption (m³),Station,AOP,265372.8,261299.20000000004,189523.2,165127.2,164992.8,164992.8,,,,,,
,,ACT,295345.61,288722,228617.59,189330.68,164648.06,134861.79,,,,,,
Specific Water Consumption (m³/mwh),Station,AOP,3.3,3.2000000000000006,2.4000000000000004,2.1,2.0999999999999996,2.0999999999999996,,,,,,
,,ACT,3.532192804192621,3.5058997281071047,2.8368935809741047,2.3552986253654287,2.1154380319485147,1.8554931703542579,,,,,,
Main Steam Flow (Ton),Station,AOP,305580.79999999993,310292.8,300078.39999999997,298801.60000000003,298558.4,298558.4,,,,0,0,0
,,ACT,315229.946785,312942.093353128,307843.48050875,311893.8,303543.48569999996,283461.5558835938,,,,,,
Specific Steam Consumption (Ton/mwh),Station,AOP,3.8,3.8,3.8,3.8,3.8,3.8,,,,,,
,,ACT,3.77,3.8,3.82,3.88,3.9,3.9,,,,,,
Forced Outage (%),Unit-1,AOP,0.2777777777777778,0.8064516129032259,0.833,0.8333333333333334,0.2777777777777778,0.2777777777777778,,,,,,
,,ACT,0,0.6115591397849461,0,0.032407407407407406,3.459527329749104,0,,,,,,
,Unit-2,AOP,0.2777777777777778,0.8064516129032259,0.833,0.8333333333333334,0.2777777777777778,0.2777777777777778,,,,,,
,,ACT,0.12500000000000003,2.8625,0,0.046296296296296294,0.2972670250896057,0,,,,,,
,Unit-3,AOP,0.2777777777777778,0.8064516129032259,0.833,0.8333333333333334,0.2777777777777778,0.2777777777777778,,,,,,
,,ACT,0,0.9381720430107526,0,0,0,0,,,,,,
,Station,AOP,0.2777777777777778,0.8064516129032259,0.833,0.8064516129032259,0.26881720430107525,0.26881720430107525,,,,,,
,,ACT,0.04687500000000001,1.537315188172043,0,0.02856182795698925,1.4087978830645163,0,,,,,,
Planned Outage (%),Unit-1,AOP,0,0,0,5,5,5,,,,,,
,,ACT,0,0,3.5686728395061724,2.4020833333333327,0,2.4585648148148147,,,,,,
,Unit-2,AOP,0,0,0,5,10,10,,,,,,
,,ACT,0,0,1.4567901234567902,6.602546296296297,7.450268817204301,2.155555555555556,,,,,,
,Unit-3,AOP,0,0,0,0,0,0,,,,,,
,,ACT,0,0,0,0,0,0.37916666666666665,,,,,,
,Station,AOP,0,0,0,3.629032258064518,5.44354838709678,5.44354838709678,,,,,,
,,ACT,0,0,1.884548611111111,3.267809139784947,2.7938508064516077,1.7662130376344152,,,,,,
